38.54.9.186,2053,AE,Kaopu Cloud HK Limited
194.87.198.87,2053,BR,Baxet Group Inc
194.87.198.87,8443,BR,Baxet Group Inc
45.95.232.232,8443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
5.252.22.124,2055,DE,PQ HOSTING SRL
5.252.22.124,2054,DE,PQ HOSTING SRL
116.203.91.224,3040,DE,Hetzner Online
111.20.226.42,23042,CN,China Mobile Communications Group Co Ltd
146.19.247.142,2054,DE,PQ HOSTING SRL
146.19.247.142,2057,DE,PQ HOSTING SRL
85.215.132.84,46114,DE,1&1 Internet AG
185.125.230.248,443,DE,AEZA INTERNATIONAL LTD
188.245.89.169,443,DE,Hetzner Online GmbH
194.180.188.253,8443,DE,HOSTKEY B.V
194.87.29.37,2053,DE,AEZA INTERNATIONAL LTD
80.76.32.54,443,DE,FIRST SERVER LIMITED
51.195.85.91,2053,DE,OVH SAS
89.169.55.205,8443,DE,AEZA INTERNATIONAL LTD
89.169.55.205,51623,DE,AEZA INTERNATIONAL LTD
51.195.85.91,8443,DE,OVH SAS
77.221.154.4,2053,DE,AEZA INTERNATIONAL LTD
77.221.154.4,8443,DE,AEZA INTERNATIONAL LTD
185.40.7.127,2003,FI,FIRST SERVER LIMITED
185.40.7.127,2053,FI,FIRST SERVER LIMITED
185.40.7.127,2508,FI,FIRST SERVER LIMITED
185.40.7.127,2509,FI,FIRST SERVER LIMITED
185.40.7.127,8443,FI,FIRST SERVER LIMITED
185.40.7.127,2004,FI,FIRST SERVER LIMITED
185.94.167.150,8443,FI,I-SERVERS LTD
185.94.167.150,2053,FI,I-SERVERS LTD
77.105.167.19,8443,FI,Aeza International LTD
92.119.125.250,59019,FR,velianet Internetdienste
151.80.57.196,2053,FR,OVHcloud
188.165.1.138,8443,FR,OVHcloud
191.96.153.119,2053,FR,OVHcloud
144.24.200.164,443,FR,Oracle Corporation
95.164.18.206,2057,GB,STARK INDUSTRIES SOLUTIONS LTD
95.164.18.211,2054,GB,STARK INDUSTRIES SOLUTIONS LTD
95.164.18.211,2057,GB,STARK INDUSTRIES SOLUTIONS LTD
95.164.88.214,2057,GB,STARK INDUSTRIES SOLUTIONS LTD
95.164.18.211,2055,GB,STARK INDUSTRIES SOLUTIONS LTD
95.164.18.206,2055,GB,STARK INDUSTRIES SOLUTIONS LTD
95.164.88.214,2055,GB,STARK INDUSTRIES SOLUTIONS LTD
95.164.88.214,2054,GB,STARK INDUSTRIES SOLUTIONS LTD
47.238.94.168,19515,HK,Alibaba (US) Technology Co Ltd
47.238.94.168,41259,HK,Alibaba (US) Technology Co Ltd
47.242.172.10,45936,HK,Alibaba (US) Technology Co Ltd
154.9.246.20,587,HK,Cloudie Limited
185.231.181.131,1000,IR,Noyan Abr Arvan Co ( Private Joint Stock)
38.47.125.109,33909,JP,VMISS Inc
103.137.212.47,8443,JP,rainbow network limited
185.47.172.228,5953,IT,Kamatera Inc
185.47.172.228,5543,IT,Kamatera Inc
58.65.97.224,30051,KR,Seokyung Cable Television Co
103.106.228.67,2053,JP,BrainStorm Network Inc
103.106.228.67,8443,JP,BrainStorm Network Inc
203.212.122.5,11431,KR,Namincheon Brodcasting Co
203.212.122.5,30051,KR,Namincheon Brodcasting Co
211.248.232.132,29369,KR,KT
1.214.208.5,50000,KR,LG DACOM Corporation
118.34.133.225,26170,KR,KT
59.18.169.121,50000,KR,KT
112.162.155.194,30085,KR,KT
61.85.205.67,27697,KR,KT
117.16.153.200,29275,KR,GyeongSang National University
49.236.107.16,30008,KR,LG Uplus
122.252.209.48,50000,KR,CMB
115.160.105.97,17190,KR,Seokyung Cable Television Co
115.160.105.97,27793,KR,Seokyung Cable Television Co
27.100.229.147,50000,KR,KCTV JEJU BROADCASTING
220.86.175.229,30012,KR,Korea Telecom
218.157.71.185,20547,KR,Korea Telecom
218.157.71.185,30005,KR,Korea Telecom
